id,product_id,name,price,stock,description
1,1,Core i5 - 8GB RAM - 128GB SSD,1446.87,25,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 2560 x 1600, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 2.3 GHz, 
kết hợp 8GB RAM và 128GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Plus Graphics 640 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.37kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1446.87 USD."
2,2,Core i5 - 8GB RAM - 128GB Flash Storage,970.86,12,"Apple Macbook Air là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 1440 x 900, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 1.8 GHz, 
kết hợp 8GB RAM và 128GB Flash Storage,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 6000 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.34kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 970.86 USD."
3,1,Core i7 - 16GB RAM - 512GB SSD,2740.45,21,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 15.4 inch 
với độ phân giải 2880 x 1800, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i7 
xung nhịp 2.7 GHz, 
kết hợp 16GB RAM và 512GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa AMD Radeon Pro 455 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.83kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 2740.45 USD."
4,1,Core i5 - 8GB RAM - 256GB SSD,1947.89,33,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 2560 x 1600, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 3.1 GHz, 
kết hợp 8GB RAM và 256GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Plus Graphics 650 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.37kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1947.89 USD."
5,1,Core i7 - 16GB RAM - 256GB Flash Storage,2311.17,33,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 15.4 inch 
với độ phân giải 2880 x 1800, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i7 
xung nhịp 2.2 GHz, 
kết hợp 16GB RAM và 256GB Flash Storage,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Pro Graphics 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành Mac OS X, 
trọng lượng chỉ 2.04kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 2311.17 USD."
6,2,Core i5 - 8GB RAM - 256GB Flash Storage,1251.4,47,"Apple Macbook Air là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 1440 x 900, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 1.8 GHz, 
kết hợp 8GB RAM và 256GB Flash Storage,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 6000 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.34kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1251.4 USD."
7,1,Core i7 - 16GB RAM - 256GB SSD,2635.17,10,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 15.4 inch 
với độ phân giải 2880 x 1800, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i7 
xung nhịp 2.8 GHz, 
kết hợp 16GB RAM và 256GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa AMD Radeon Pro 555 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.83kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 2635.17 USD."
8,3,Core M m3 - 8GB RAM - 256GB SSD,1363.39,48,"Apple MacBook 12"" là dòng Ultrabook cao cấp sở hữu màn hình 12.0 inch 
với độ phân giải 2304 x 1440, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core M m3 
xung nhịp 1.2 GHz, 
kết hợp 8GB RAM và 256GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 615 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 0.92kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1363.39 USD."
9,1,Core i5 - 8GB RAM - 256GB SSD,1640.03,28,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 2560 x 1600, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 2.3 GHz, 
kết hợp 8GB RAM và 256GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Plus Graphics 640 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.37kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1640.03 USD."
10,1,Core i7 - 16GB RAM - 512GB SSD,3086.64,41,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 15.4 inch 
với độ phân giải 2880 x 1800, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i7 
xung nhịp 2.9 GHz, 
kết hợp 16GB RAM và 512GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa AMD Radeon Pro 560 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.83kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 3086.64 USD."
11,4,Core i5 - 8GB RAM - 128GB Flash Storage,1186.92,20,"Apple MacBook Air là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 1440 x 900, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 1.6 GHz, 
kết hợp 8GB RAM và 128GB Flash Storage,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 6000 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành Mac OS X, 
trọng lượng chỉ 1.35kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1186.92 USD."
12,4,Core i5 - 8GB RAM - 256GB Flash Storage,1077.84,49,"Apple MacBook Air là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 1440 x 900, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 1.6 GHz, 
kết hợp 8GB RAM và 256GB Flash Storage,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 6000 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành Mac OS X, 
trọng lượng chỉ 1.35kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1077.84 USD."
13,1,Core i5 - 8GB RAM - 256GB SSD,1532.52,13,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 2560 x 1600, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 2.0 GHz, 
kết hợp 8GB RAM và 256GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Graphics 540 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.37kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1532.52 USD."
14,3,Core i5 - 8GB RAM - 512GB SSD,1630.8,21,"Apple MacBook 12"" là dòng Ultrabook cao cấp sở hữu màn hình 12.0 inch 
với độ phân giải 2304 x 1440, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 1.3 GHz, 
kết hợp 8GB RAM và 512GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel HD Graphics 615 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 0.92kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 1630.8 USD."
15,1,Core i5 - 8GB RAM - 512GB SSD,2203.2,45,"Apple MacBook Pro là dòng Ultrabook cao cấp sở hữu màn hình 13.3 inch 
với độ phân giải 2560 x 1600, mang lại không gian hiển thị sắc nét và sống động.

Máy được trang bị bộ vi xử lý Intel Core i5 
xung nhịp 3.1 GHz, 
kết hợp 8GB RAM và 512GB SSD,
đáp ứng tốt nhu cầu học tập, làm việc và giải trí.

Card đồ họa Intel Iris Plus Graphics 650 
giúp xử lý hình ảnh ổn định và mượt mà.

Thiết bị chạy hệ điều hành macOS, 
trọng lượng chỉ 1.37kg thuận tiện mang theo mỗi ngày.

Mức giá tham khảo khoảng 2203.2 USD."
